index,id,Name,issueOpenScore,pullRequestMergeScore,commitRatioScore,averageCommitPerDayScore,totalScore
114,114551195,AbuBaniaz/mediaportal-uk-logos,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
115,151311216,yaplej/suricata,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
116,163861539,Pandinosaurus/RetroPie-Setup,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
117,159841184,aircredit/Parchment,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
118,189861810,stevepentland/tilix,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
119,202902710,IMULMUL/ctf-wiki,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
120,124503113,bgruening/cf-scripts,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
121,68056079,rahulunair/requirements,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
122,83380443,Mattlk13/cabal,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
123,170524759,zys-contribs/nodejs.dev,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
124,202897087,IMULMUL/sec_profile,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
125,151327831,Jared-Dev/docz,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
126,18824406,patilswapnilv/twitter.github.com,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
127,192853730,nutterthanos/hack-technicolor,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
128,182922447,symfu/ios-chat,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
129,162183036,bitst0rm-st3/eslint,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
130,151919720,zys-contribs/ant-design-pro,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
131,178015140,kofj/cheatsheets,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
132,175090647,fakegit/bt,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
133,50924770,davidaparicio/hoverboard,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
134,170484640,scatenag/awesome-quantum-computing,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
135,177885817,andrewmcodes/docker-rails,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
136,204213425,Manon120184/Automato-ATITD9,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
137,201880092,patilswapnilv/refined-github,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
138,176935947,Asnivor/Sonarr,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
139,205078283,matthewbegun/protobuf-unity,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
140,201762073,monocilindro/stoqs,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
141,188388499,rolfberkenbosch/docker-pi-hole,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
142,199110535,newb23/MagitekRoutine,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
143,157068153,Pandinosaurus/google-research,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
144,202898466,IMULMUL/AD-Attack-Defense,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
145,151280840,5H3LL3H5/vim-sensible,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
146,151280521,5H3LL3H5/vim-fugitive,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
147,200057176,ADIX7/vscode-git-graph,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
148,135145630,Monogramm/oblyon,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
149,136036598,security-geeks/gopass,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
150,158063180,jarvanh/yii2_fecshop,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
151,160197740,SweetOps/charts,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
152,189580814,xPixv/SteamDatabaseBackend,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
153,19446281,podarok/tz,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
154,202899454,IMULMUL/bat,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
155,195337904,db-apps/mariadb-server,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
156,205392402,nicolaszf/Magisk,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
157,145336289,shakir-abdo/awesome-feathersjs,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
158,54248941,vorot93/boinc,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
159,173935673,Pandinosaurus/yolov3-1,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
160,197897624,devdbrandy/in-60-seconds,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
161,169743984,fdiocitest/vpp,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
162,97794507,disksing/tidb,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
163,196413441,joe9111/loopback-next,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
164,193057557,Pandinosaurus/style-based-gan-pytorch,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
165,199686208,patilswapnilv/server,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
166,202910980,IMULMUL/owasp-mstg,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
167,202911118,IMULMUL/haxe,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
168,137699446,iwata/buefy,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
169,171074890,Mattlk13/thc-hydra,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
170,131537462,Mattlk13/ContextSearch-web-ext,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
171,176390508,jc01rho/ogame,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
172,100795969,uniibu/roundcubemail,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
173,185162285,Pandinosaurus/remi,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
174,174538082,Nocturnals/awesome-flutter,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
175,191137609,Pandinosaurus/tensor2tensor,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
176,146457615,ArchiFleKs/website,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
177,158008210,sctnightcore/Avalonia,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
178,158782358,bobby0809/nodejs.org,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
179,152536161,zys-contribs/nodejs.org,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
180,198367268,dongbum/NOHHHHHH_PUBLIC,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
181,193326352,fakegit/awesome-python-applications,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
182,200931898,mvpvg/awesome-selfhosted,0.0,0.6666667,5.6047527E-5,5.6047527E-5,0.11731198
